KONCESSION,Spanning,Enhet,FöretagNa,kommunkod,kommunnamn,Företagsnamn,Hemsida,Emailadress,Telefonnummer,Adress
8600I,20,REL03030,Vattenfall Eldistribution AB,"2418",Malå,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600N,22,REL03030,Vattenfall Eldistribution AB,"2418",Malå,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
102AU,10,REL00004,Alvesta Elnät AB,"0780",Växjö,Alvesta Elnät AB,alvestaenergi.se,kundtjanst@alvestaenergi.se,0472-150 38,"Blädingevägen 22, 342 80 Alvesta"
2264AA,20,REL00243,Växjö Energi Elnät AB,"0780",Växjö,Växjö Energi Elnät AB,veab.se,,0470-70 33 33,"Box 497, 351 06 Växjö"
380CGV,20,REL03028,E.ON Energidistribution AB,"0780",Växjö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CGÅ,20,REL03028,E.ON Energidistribution AB,"0780",Växjö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CHG,20,REL03028,E.ON Energidistribution AB,"0780",Växjö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CNV,20,REL03028,E.ON Energidistribution AB,"0780",Växjö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380RBz,20,REL03028,E.ON Energidistribution AB,"0780",Växjö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380UCp,20,REL03028,E.ON Energidistribution AB,"0780",Växjö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380UCö,20,REL03028,E.ON Energidistribution AB,"0780",Växjö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380YCg,20,REL03028,E.ON Energidistribution AB,"0780",Växjö,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
1892IR,20,REL00029,Övertorneå Energi AB,"2583",Haparanda,Övertorneå Energi AB,övertårneåenergi.se,kundtjanst@energi.overtornea.se,0927-796 60,"Älvvägen 13, 957 31 Övertorneå"
8600C,20,REL03030,Vattenfall Eldistribution AB,"2583",Haparanda,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600R,20,REL03030,Vattenfall Eldistribution AB,"2583",Haparanda,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
"10861",24,REL03030,Vattenfall Eldistribution AB,"2583",Haparanda,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
164z,10,REL00038,Falkenberg Energi Elnät AB,"1382",Falkenberg,Falkenberg Energi Elnät AB,falkenberg-energi.se,energi@falkenberg.se,0346-88 67 00,"Bacchus väg 1, 311 42 Falkenberg"
380CCK,24,REL03028,E.ON Energidistribution AB,"1382",Falkenberg,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
435HB,20,REL03030,Vattenfall Eldistribution AB,"1382",Falkenberg,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
5255Aa,20,REL00204,Varberg Energi Elnät AB,"1382",Falkenberg,Varberg Energi Elnät AB,varbergenergi.se,info@varbergenergi.se,0340-62 88 00,"Box 1043, 432 13 Varberg"
7001CC,20,REL00205,Varbergsortens Elkraft ek. för.,"1382",Falkenberg,Varbergsortens Elkraft ek. för.,vbgelkraft.se,kundtjanst@vbgelkraft.se,0340-64 64 00,"Syllingevägen 17, 432 67 Veddige"
7012AQ,20,REL03028,E.ON Energidistribution AB,"1382",Falkenberg,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CPK,20,REL03028,E.ON Energidistribution AB,"1382",Falkenberg,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
130CC,20,REL00090,Karlskoga Elnät AB,"1863",Hällefors,Karlskoga Elnät AB,karlskogaenergi.se,info@karlskogaenergi.se,0586-75 01 00,"Box 42, 691 21 Karlskoga"
35DH,20,REL03035,Ellevio AB,"1863",Hällefors,Ellevio AB,ellevio.se,,0771-53 53 00,
380CJD,20,REL03028,E.ON Energidistribution AB,"1863",Hällefors,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
418AK,20,REL03035,Ellevio AB,"1863",Hällefors,Ellevio AB,ellevio.se,,0771-53 53 00,
8704X,20,REL03028,E.ON Energidistribution AB,"1863",Hällefors,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
664CE,20,REL03035,Ellevio AB,"1863",Hällefors,Ellevio AB,ellevio.se,,0771-53 53 00,
2974CE,20,REL00143,Olofströms Kraft Nät AB,"1290",Kristianstad,Olofströms Kraft Nät AB,olofstromskraft.se,kund@okab.net,0454 - 980 00,"Östra Ringvägen 219, 293 40 Olofström"
380CEX,20,REL03028,E.ON Energidistribution AB,"1290",Kristianstad,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CHC,20,REL03028,E.ON Energidistribution AB,"1290",Kristianstad,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COC,20,REL03028,E.ON Energidistribution AB,"1290",Kristianstad,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COV,24,REL03028,E.ON Energidistribution AB,"1290",Kristianstad,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
4092AS,24,REL00126,Mellersta Skånes Kraft ek. för.,"1290",Kristianstad,Mellersta Skånes Kraft ek. för.,mskraft.nu,info@mskraft.se,0413-48 90 00,"Landsvägen 77, 243 72 Tjörnarp"
4302AG,20,REL01012,Brittedals Elnät ek. för.,"1290",Kristianstad,Brittedals Elnät ek. för.,brittedal.se,kundservice@brittedal.se,0451-306 21,"Östra Järnvägsgatan 15, 282 75 Hästveda"
4426AD,20,REL00144,Olseröds Elektriska Distributionsförening u.p.a.,"1290",Kristianstad,Olseröds Elektriska Distributionsförening u.p.a.,oedf.se,info@oedf.se,044-35 11 26,"Sockenvägen 524, 297 95 Degeberga"
6293O,20,REL00021,Bromölla Energi och Vatten AB,"1290",Kristianstad,Bromölla Energi och Vatten AB,bromolla.se/bevab,info@bevab.se,0456-622 500,"Storgatan 40, 295 31 Bromölla"
712AD,20,REL00886,Kraftringen Nät AB,"1290",Kristianstad,Kraftringen Nät AB,kraftringen.se,,010-122 70 00,"Box 25, 221 00 Lund"
990BD,20,REL00023,C4 Elnät AB,"1290",Kristianstad,C4 Elnät AB,c4energi.se,kundservice@c4energi.se,044-780 75 00,"Box 2105, 291 02 Kristianstad"
104FA,40,REL00118,Luleå Energi Elnät AB,"2560",Älvsbyn,Luleå Energi Elnät AB,luleaenergi.se,info@luleaenergi.se,0920-26 44 00,"Björkskataleden 95, 973 47 Luleå"
1834AE,20,REL03046,PiteEnergi Elnät AB,"2560",Älvsbyn,PiteEnergi Elnät AB,piteenergi.se,kundservice@piteenergi.se,0911-648 00,"Västra kajvägen 1, 941 28 Piteå"
294IT,20,REL00015,Bodens Energi Nät AB,"2560",Älvsbyn,Bodens Energi Nät AB,bodensenergi.se,info@bodensenergi.se,0921-582 00,"Slipvägen 7, 961 38 Boden"
8600B,20,REL03030,Vattenfall Eldistribution AB,"2560",Älvsbyn,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600E,20,REL03030,Vattenfall Eldistribution AB,"2560",Älvsbyn,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8600I,20,REL03030,Vattenfall Eldistribution AB,"2560",Älvsbyn,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
1517DP,20,REL03035,Ellevio AB,"2034",Orsa,Ellevio AB,ellevio.se,,0771-53 53 00,
1952EA,52,REL00576,Härjeåns Nät AB,"2034",Orsa,Härjeåns Nät AB,harjeans.se,info@harjeans.se,0680-242 00,"Box 129, 842 22 Sveg"
306CN,20,REL03009,Dala Energi Elnät AB,"2034",Orsa,Dala Energi Elnät AB,dalaenergi.se,info@dalaenergi.se,0247-738 00,"Box 254, 793 26 Leksand"
35CR,24,REL03035,Ellevio AB,"2034",Orsa,Ellevio AB,ellevio.se,,0771-53 53 00,
35DH,20,REL03035,Ellevio AB,"1782",Filipstad,Ellevio AB,ellevio.se,,0771-53 53 00,
418AK,20,REL03035,Ellevio AB,"1782",Filipstad,Ellevio AB,ellevio.se,,0771-53 53 00,
"11116",36,REL00123,Malung-Sälens Elnät AB,"1782",Filipstad,Malung-Sälens Elnät AB,malungselnat.se,kundservice@msen.se,0280-442 00,"Box 4, 782 21 Malung"
717L,20,REL00040,Filipstad Energinät AB,"1782",Filipstad,Filipstad Energinät AB,filipstadenerginat.se,kundtjanst.energinat@filipstad.se,0590-613 62,"Box 150, 682 24 Filipstad"
7220EI,24,REL03035,Ellevio AB,"1782",Filipstad,Ellevio AB,ellevio.se,,0771-53 53 00,
435HB,20,REL03030,Vattenfall Eldistribution AB,"1383",Varberg,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
5255Aa,20,REL00204,Varberg Energi Elnät AB,"1383",Varberg,Varberg Energi Elnät AB,varbergenergi.se,info@varbergenergi.se,0340-62 88 00,"Box 1043, 432 13 Varberg"
7001CC,20,REL00205,Varbergsortens Elkraft ek. för.,"1383",Varberg,Varbergsortens Elkraft ek. för.,vbgelkraft.se,kundtjanst@vbgelkraft.se,0340-64 64 00,"Syllingevägen 17, 432 67 Veddige"
8705BU,20,REL03035,Ellevio AB,"1383",Varberg,Ellevio AB,ellevio.se,,0771-53 53 00,
380CPK,20,REL03028,E.ON Energidistribution AB,"1383",Varberg,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
2974CE,20,REL00143,Olofströms Kraft Nät AB,"1083",Sölvesborg,Olofströms Kraft Nät AB,olofstromskraft.se,kund@okab.net,0454 - 980 00,"Östra Ringvägen 219, 293 40 Olofström"
380Ci,20,REL03028,E.ON Energidistribution AB,"1083",Sölvesborg,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
454Q,20,REL00185,Sölvesborgs Energi & Vatten AB,"1083",Sölvesborg,Sölvesborgs Energi & Vatten AB,solvesborgenergi.se,info@solvesborgenergi.se,0456-81 68 80,"Sölvesborgs Energi AB, 294 80 Sölvesborg"
272AD,20,REL00033,Halmstads Energi och Miljö Nät AB,"1380",Halmstad,Halmstads Energi och Miljö Nät AB,hem.se,info@hem.se,035-190 190,"Box 31, 301 02 Halmstad"
3166BH,24,REL00184,Södra Hallands Kraft ek. för.,"1380",Halmstad,Södra Hallands Kraft ek. för.,sodrahallandskraft.se,info@sodrahallandskraft.se,0430-480 00,"Box 63, 312 21 LAHOLM"
380CCK,24,REL03028,E.ON Energidistribution AB,"1380",Halmstad,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CIÄ,20,REL03028,E.ON Energidistribution AB,"1380",Halmstad,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COO,24,REL03028,E.ON Energidistribution AB,"1380",Halmstad,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CPK,20,REL03028,E.ON Energidistribution AB,"1380",Halmstad,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
1517DP,20,REL03035,Ellevio AB,"2021",Vansbro,Ellevio AB,ellevio.se,,0771-53 53 00,
306CN,20,REL03009,Dala Energi Elnät AB,"2021",Vansbro,Dala Energi Elnät AB,dalaenergi.se,info@dalaenergi.se,0247-738 00,"Box 254, 793 26 Leksand"
35DG,20,REL03035,Ellevio AB,"2021",Vansbro,Ellevio AB,ellevio.se,,0771-53 53 00,
35DH,20,REL03035,Ellevio AB,"2021",Vansbro,Ellevio AB,ellevio.se,,0771-53 53 00,
"11116",36,REL00123,Malung-Sälens Elnät AB,"2021",Vansbro,Malung-Sälens Elnät AB,malungselnat.se,kundservice@msen.se,0280-442 00,"Box 4, 782 21 Malung"
118HA,20,REL00570,Västerbergslagens Elnät AB,"2021",Vansbro,Västerbergslagens Elnät AB,vbenergi.se,info@vbenergi.se,0240-876 00,Box 860 771 28 Ludvika
7220EI,24,REL03035,Ellevio AB,"1766",Sunne,Ellevio AB,ellevio.se,,0771-53 53 00,
7220EK,20,REL03035,Ellevio AB,"1766",Sunne,Ellevio AB,ellevio.se,,0771-53 53 00,
7220EM,20,REL03035,Ellevio AB,"1766",Sunne,Ellevio AB,ellevio.se,,0771-53 53 00,
7220EK,20,REL03035,Ellevio AB,"1765",Årjäng,Ellevio AB,ellevio.se,,0771-53 53 00,
7220EM,20,REL03035,Ellevio AB,"1765",Årjäng,Ellevio AB,ellevio.se,,0771-53 53 00,
8400AM,24,REL03030,Vattenfall Eldistribution AB,"1765",Årjäng,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
8400AS,20,REL03030,Vattenfall Eldistribution AB,"1765",Årjäng,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
306CN,20,REL03009,Dala Energi Elnät AB,"2085",Ludvika,Dala Energi Elnät AB,dalaenergi.se,info@dalaenergi.se,0247-738 00,"Box 254, 793 26 Leksand"
35DG,20,REL03035,Ellevio AB,"2085",Ludvika,Ellevio AB,ellevio.se,,0771-53 53 00,
35DH,20,REL03035,Ellevio AB,"2085",Ludvika,Ellevio AB,ellevio.se,,0771-53 53 00,
418AK,20,REL03035,Ellevio AB,"2085",Ludvika,Ellevio AB,ellevio.se,,0771-53 53 00,
6351Ax,20,REL00018,AB Borlänge Energi Elnät,"2085",Ludvika,AB Borlänge Energi Elnät,borlange-energi.se,kund@borlange-energi.se,0243-730 00,"Nygårdsvägen 9, 781 70 Borlänge"
664CE,20,REL03035,Ellevio AB,"2085",Ludvika,Ellevio AB,ellevio.se,,0771-53 53 00,
118HA,20,REL00570,Västerbergslagens Elnät AB,"2085",Ludvika,Västerbergslagens Elnät AB,vbenergi.se,info@vbenergi.se,0240-876 00,Box 860 771 28 Ludvika
731ÖFQ,20,REL03030,Vattenfall Eldistribution AB,"0584",Vadstena,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGI,20,REL03030,Vattenfall Eldistribution AB,"0584",Vadstena,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7414G,24,REL00127,Mjölby Kraftnät AB,"0584",Vadstena,Mjölby Kraftnät AB,mse.se,kundservice@mse.se,0142 - 855 85,"Box 510, 595 29 Mjölby"
380CJD,20,REL03028,E.ON Energidistribution AB,"1880",Örebro,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CPA,24,REL03028,E.ON Energidistribution AB,"1880",Örebro,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
418AP,25,REL03035,Ellevio AB,"1880",Örebro,Ellevio AB,ellevio.se,,0771-53 53 00,
5108K,20,REL00944,Linde Energi Elnät AB,"1880",Örebro,Linde Energi Elnät AB,lindeenergi.se,kundservice@lindeenergi.se,0581-887 01,"Box 77, 711 22 Lindesberg"
6371V,20,REL00944,Linde Energi Elnät AB,"1880",Örebro,Linde Energi Elnät AB,lindeenergi.se,kundservice@lindeenergi.se,0581-887 01,"Box 77, 711 22 Lindesberg"
731ÖFL,20,REL03030,Vattenfall Eldistribution AB,"1880",Örebro,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7403BH,40,REL00267,Mälarenergi Elnät AB,"1880",Örebro,Mälarenergi Elnät AB,malarenergi.se,,021-39 50 50,"Box 14, 721 03 Västerås"
8704Å,20,REL03028,E.ON Energidistribution AB,"1880",Örebro,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
130CC,20,REL00090,Karlskoga Elnät AB,"1781",Kristinehamn,Karlskoga Elnät AB,karlskogaenergi.se,info@karlskogaenergi.se,0586-75 01 00,"Box 42, 691 21 Karlskoga"
418AK,20,REL03035,Ellevio AB,"1781",Kristinehamn,Ellevio AB,ellevio.se,,0771-53 53 00,
418AP,25,REL03035,Ellevio AB,"1781",Kristinehamn,Ellevio AB,ellevio.se,,0771-53 53 00,
477BF,24,REL00098,Kristinehamns Elnät AB,"1781",Kristinehamn,Kristinehamns Elnät AB,kristinehamnsenergi.se,kundtjanst@kristinehamnsenergi.se,0550-881 50,"Varnumsleden 1, 681 93 Kristinehamn"
7201C,20,REL03054,Degerfors Elnät AB,"1781",Kristinehamn,Degerfors Elnät AB,degerforsenergi.se,kundservice@degerforsenergi.se,0586-485 32,"Box 1, 693 21 Degerfors"
7220EM,20,REL03035,Ellevio AB,"1781",Kristinehamn,Ellevio AB,ellevio.se,,0771-53 53 00,
380CGZ,20,REL03028,E.ON Energidistribution AB,"0685",Vetlanda,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CHG,20,REL03028,E.ON Energidistribution AB,"0685",Vetlanda,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CNV,20,REL03028,E.ON Energidistribution AB,"0685",Vetlanda,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COK,24,REL03028,E.ON Energidistribution AB,"0685",Vetlanda,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380UCö,20,REL03028,E.ON Energidistribution AB,"0685",Vetlanda,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
432BD,20,REL00936,Njudung Vetlanda Elnät AB,"0685",Vetlanda,Njudung Vetlanda Elnät AB,njudung.se,info@njudung.se,0383-76 38 01,"Box 154, 574 22 Vetlanda"
"11404",24,REL03015,Falu Elnät AB,"2026",Gagnef,Falu Elnät AB,fev.se,info@fev.se,023-77 49 00,"Box 213, 791 25 Falun"
306CN,20,REL03009,Dala Energi Elnät AB,"2026",Gagnef,Dala Energi Elnät AB,dalaenergi.se,info@dalaenergi.se,0247-738 00,"Box 254, 793 26 Leksand"
35DG,20,REL03035,Ellevio AB,"2026",Gagnef,Ellevio AB,ellevio.se,,0771-53 53 00,
6351Ax,20,REL00018,AB Borlänge Energi Elnät,"2026",Gagnef,AB Borlänge Energi Elnät,borlange-energi.se,kund@borlange-energi.se,0243-730 00,"Nygårdsvägen 9, 781 70 Borlänge"
118HA,20,REL00570,Västerbergslagens Elnät AB,"2026",Gagnef,Västerbergslagens Elnät AB,vbenergi.se,info@vbenergi.se,0240-876 00,Box 860 771 28 Ludvika
1647AF,20,REL00177,Sturefors Eldistribution AB,"0580",Linköping,Sturefors Eldistribution AB,stureforsgods.se/elnatinfo,bielke@stureforsgods.se ,0706-88 84 90,"Sturefors Eldistribution AB, 589 64 Sturefors"
175VIIs(8),20,REL00111,Tekniska verken Linköping Nät AB,"0580",Linköping,Tekniska verken Linköping Nät AB,tekniskaverken.se,kundservice@tekniskaverken.se,0771-25 26 27,"Box 1500, 58115 Linköping"
380COD,40,REL03028,E.ON Energidistribution AB,"0580",Linköping,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
731ÖFQ,20,REL03030,Vattenfall Eldistribution AB,"0580",Linköping,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGG,20,REL03030,Vattenfall Eldistribution AB,"0580",Linköping,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
731ÖGI,20,REL03030,Vattenfall Eldistribution AB,"0580",Linköping,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7414G,24,REL00127,Mjölby Kraftnät AB,"0580",Linköping,Mjölby Kraftnät AB,mse.se,kundservice@mse.se,0142 - 855 85,"Box 510, 595 29 Mjölby"
380CPG,20,REL03028,E.ON Energidistribution AB,"0580",Linköping,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
3166BH,24,REL00184,Södra Hallands Kraft ek. för.,"1381",Laholm,Södra Hallands Kraft ek. för.,sodrahallandskraft.se,info@sodrahallandskraft.se,0430-480 00,"Box 63, 312 21 LAHOLM"
380CCK,24,REL03028,E.ON Energidistribution AB,"1381",Laholm,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CIÄ,20,REL03028,E.ON Energidistribution AB,"1381",Laholm,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380COX,24,REL03028,E.ON Energidistribution AB,"1381",Laholm,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
5076A,20,REL03028,E.ON Energidistribution AB,"1381",Laholm,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
713CG,20,REL03045,Öresundskraft Elnät AB,"1381",Laholm,Öresundskraft Elnät AB,oresundskraft.se,info@oresundskraft.se,042-490 30 00,"Västra sandgatan 4, 252 25 Helsingborg"
276AD,20,REL00092,Karlstads Elnät AB,"1780",Karlstad,Karlstads Elnät AB,karlstadsenergi.se,kundservice.energi@karlstad.se,054-540 71 00,"Karlstads Energi, 651 84 Karlstad"
3355BB,20,REL03035,Ellevio AB,"1780",Karlstad,Ellevio AB,ellevio.se,,0771-53 53 00,
418AK,20,REL03035,Ellevio AB,"1780",Karlstad,Ellevio AB,ellevio.se,,0771-53 53 00,
7220EI,24,REL03035,Ellevio AB,"1780",Karlstad,Ellevio AB,ellevio.se,,0771-53 53 00,
7220EM,20,REL03035,Ellevio AB,"1780",Karlstad,Ellevio AB,ellevio.se,,0771-53 53 00,
240X,20,REL00594,VänerEnergi AB,"1493",Mariestad,VänerEnergi AB,vanerenergi.se,info@vanerenergi.se,0501-637 00,"Box 102, 542 21 Mariestad"
383AU,40,REL00594,VänerEnergi AB,"1493",Mariestad,VänerEnergi AB,vanerenergi.se,info@vanerenergi.se,0501-637 00,"Box 102, 542 21 Mariestad"
418AP,25,REL03035,Ellevio AB,"1493",Mariestad,Ellevio AB,ellevio.se,,0771-53 53 00,
685CD,20,REL00585,Götene Elförening ek. för.,"1493",Mariestad,Götene Elförening ek. för.,kinnekulleenergi.se/en-del-av-gotene-elforening,kundtjanst@kinnekulleenergi.se,0511-34 55 00,"Box 81, 533 21 Götene"
2252AF,20,REL03028,E.ON Energidistribution AB,"0139",Upplands-Bro,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
2464A,20,REL03028,E.ON Energidistribution AB,"0139",Upplands-Bro,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
2471M,20,REL03030,Vattenfall Eldistribution AB,"0139",Upplands-Bro,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
3163BB,20,REL03035,Ellevio AB,"0139",Upplands-Bro,Ellevio AB,ellevio.se,,0771-53 53 00,
3251P,24,REL03028,E.ON Energidistribution AB,"0139",Upplands-Bro,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CJD,20,REL03028,E.ON Energidistribution AB,"1885",Lindesberg,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
6371V,20,REL00944,Linde Energi Elnät AB,"1885",Lindesberg,Linde Energi Elnät AB,lindeenergi.se,kundservice@lindeenergi.se,0581-887 01,"Box 77, 711 22 Lindesberg"
731ÖEO,20,REL03030,Vattenfall Eldistribution AB,"1885",Lindesberg,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7403BH,40,REL00267,Mälarenergi Elnät AB,"1885",Lindesberg,Mälarenergi Elnät AB,malarenergi.se,,021-39 50 50,"Box 14, 721 03 Västerås"
8704X,20,REL03028,E.ON Energidistribution AB,"1885",Lindesberg,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
8704Å,20,REL03028,E.ON Energidistribution AB,"1885",Lindesberg,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
664CE,20,REL03035,Ellevio AB,"1885",Lindesberg,Ellevio AB,ellevio.se,,0771-53 53 00,
118HA,20,REL00570,Västerbergslagens Elnät AB,"1885",Lindesberg,Västerbergslagens Elnät AB,vbenergi.se,info@vbenergi.se,0240-876 00,Box 860 771 28 Ludvika
1304i,20,REL03028,E.ON Energidistribution AB,"1384",Kungsbacka,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
435HB,20,REL03030,Vattenfall Eldistribution AB,"1384",Kungsbacka,Vattenfall Eldistribution AB,vattenfalleldistribution.se,,0771-10 10 50,"Box 13, 881 06 Näsåker"
7001CC,20,REL00205,Varbergsortens Elkraft ek. för.,"1384",Kungsbacka,Varbergsortens Elkraft ek. för.,vbgelkraft.se,kundtjanst@vbgelkraft.se,0340-64 64 00,"Syllingevägen 17, 432 67 Veddige"
8705BU,20,REL03035,Ellevio AB,"1384",Kungsbacka,Ellevio AB,ellevio.se,,0771-53 53 00,
8705F,20,REL03035,Ellevio AB,"1486",Strömstad,Ellevio AB,ellevio.se,,0771-53 53 00,
"11404",24,REL03015,Falu Elnät AB,"2029",Leksand,Falu Elnät AB,fev.se,info@fev.se,023-77 49 00,"Box 213, 791 25 Falun"
306CN,20,REL03009,Dala Energi Elnät AB,"2029",Leksand,Dala Energi Elnät AB,dalaenergi.se,info@dalaenergi.se,0247-738 00,"Box 254, 793 26 Leksand"
35DG,20,REL03035,Ellevio AB,"2029",Leksand,Ellevio AB,ellevio.se,,0771-53 53 00,
380CGÅ,20,REL03028,E.ON Energidistribution AB,"0683",Värnamo,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380CNV,20,REL03028,E.ON Energidistribution AB,"0683",Värnamo,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
380UCö,20,REL03028,E.ON Energidistribution AB,"0683",Värnamo,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
6256AE,10,REL00235,Värnamo Elnät AB,"0683",Värnamo,Värnamo Elnät AB,varnamoenergi.se,kund@varnamoenergi.se,0370-69 41 00,"Box 2268, 331 02 Värnamo"
7012AQ,20,REL03028,E.ON Energidistribution AB,"0683",Värnamo,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
968BB,20,REL03016,Vaggeryds Elverk AB,"0683",Värnamo,Vaggeryds Elverk AB,vaggerydsenergi.com,kundservice@vaggerydsenergi.se,0393-785 00,"Box 173, 567 24 Vaggeryd"
380CPX,20,REL03028,E.ON Energidistribution AB,"0683",Värnamo,E.ON Energidistribution AB,eon.se,kundservice@eon.se,010-228 33 43,
2337AN,20,REL03038,Lidköping Elnät AB,"1494",Lidköping,Lidköping Elnät AB,lidkoping.se/lidkoping-elnat/start,lidkopingelnat@lidkoping.se,0510-77 00 00,"Skogvaktarevägen 7c, 531 53 Lidköping"
418AP,25,REL03035,Ellevio AB,"1494",Lidköping,Ellevio AB,ellevio.se,,0771-53 53 00,
440AC,40,REL03038,Lidköping Elnät AB,"1494",Lidköping,Lidköping Elnät AB,lidkoping.se/lidkoping-elnat/start,lidkopingelnat@lidkoping.se,0510-77 00 00,"Skogvaktarevägen 7c, 531 53 Lidköping"
